                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                 0.6647,                0.66561,                 1.2027,                0.84485,                0.73333,                0.81202,                0.66476,                0.82924,                 0.6208,                 1.4973,              0.0002972,              0.0002972,              0.0002972
                     88,                0.64834,                0.60883,                 1.1939,                0.84564,                 0.7305,                0.81969,                0.67744,                0.84184,                0.63153,                 1.5046,              0.0002774,              0.0002774,              0.0002774
                     89,                0.67912,                0.57829,                 1.2083,                 0.9377,                  0.669,                0.81953,                0.68605,                0.80677,                0.62664,                 1.4649,              0.0002576,              0.0002576,              0.0002576
                     90,                0.62571,                0.57557,                 1.1587,                0.92196,                0.68889,                0.83392,                0.69845,                0.85701,                0.62834,                 1.5164,              0.0002378,              0.0002378,              0.0002378
                     91,                0.46784,                0.49764,                 1.0703,                0.94095,                0.70833,                0.82559,                0.69108,                0.77256,                0.61262,                 1.4209,               0.000218,               0.000218,               0.000218
                     92,                0.48212,                0.46771,                  1.063,                0.95678,                0.68889,                0.83681,                0.69402,                 0.7798,                0.65856,                 1.4477,              0.0001982,              0.0001982,              0.0001982
                     93,                0.49595,                 0.4579,                 1.1083,                 0.9687,                0.68785,                0.82324,                0.68206,                0.81703,                0.70181,                 1.4667,              0.0001784,              0.0001784,              0.0001784
                     94,                0.46307,                0.45137,                 1.0542,                0.88312,                0.71111,                0.79692,                0.67191,                0.71777,                0.71659,                 1.3916,              0.0001586,              0.0001586,              0.0001586
                     95,                0.44132,                0.43679,                 1.0855,                0.91115,                0.68379,                0.77907,                0.67002,                0.82196,                0.75943,                 1.5765,              0.0001388,              0.0001388,              0.0001388
                     96,                0.43099,                0.43037,                 1.0662,                0.89334,                0.66667,                0.77628,                0.65907,                0.80027,                0.73638,                 1.5665,               0.000119,               0.000119,               0.000119
                     97,                0.42503,                0.41644,                 1.0419,                0.81962,                 0.7069,                0.76748,                0.65994,                0.79614,                0.73447,                 1.5609,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.45301,                0.41768,                 1.0598,                0.91381,                0.68889,                0.77353,                0.66523,                0.74597,                0.71564,                 1.4607,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                 0.4035,                0.38013,                 1.0121,                 0.9333,                0.73333,                0.79648,                0.67606,                0.72038,                0.70583,                  1.404,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.41144,                0.37095,                 1.0817,                0.91305,                0.73333,                0.80076,                0.68699,                0.69472,                0.66228,                 1.3567,               3.98e-05,               3.98e-05,               3.98e-05
